time,humidity,airTemperature,waterTemperature
19 Jul 2020 11:14:59,51.099998474121094,20.0,19.375
19 Jul 2020 11:15:18,51.099998474121094,20.0,19.5
19 Jul 2020 11:15:34,51.0,20.0,19.4375
19 Jul 2020 11:15:51,50.900001525878906,20.100000381469727,19.4375
19 Jul 2020 11:16:07,51.5,20.100000381469727,19.4375
19 Jul 2020 11:16:23,51.5,20.0,19.5
19 Jul 2020 11:16:40,51.400001525878906,20.0,19.4375
19 Jul 2020 11:16:56,51.5,20.0,19.4375
19 Jul 2020 11:17:13,51.599998474121094,20.0,19.5
19 Jul 2020 11:17:29,51.400001525878906,20.0,19.4375
19 Jul 2020 11:17:45,51.400001525878906,20.0,19.5
19 Jul 2020 11:18:02,52.0,20.100000381469727,19.5
19 Jul 2020 11:18:18,51.599998474121094,20.100000381469727,19.4375
19 Jul 2020 11:18:35,50.900001525878906,20.0,19.5
19 Jul 2020 11:18:51,51.0,20.100000381469727,19.4375
19 Jul 2020 11:19:07,50.900001525878906,20.100000381469727,19.4375
19 Jul 2020 11:19:24,50.79999923706055,20.100000381469727,19.4375
19 Jul 2020 11:19:40,50.79999923706055,20.100000381469727,19.5
19 Jul 2020 11:19:57,50.79999923706055,20.100000381469727,19.4375
19 Jul 2020 11:20:13,50.29999923706055,20.100000381469727,19.5
19 Jul 2020 11:20:29,50.5,20.100000381469727,19.4375
19 Jul 2020 11:20:46,50.79999923706055,20.100000381469727,19.4375
19 Jul 2020 11:21:05,50.5,20.100000381469727,19.375
19 Jul 2020 11:21:21,50.599998474121094,20.100000381469727,19.5
19 Jul 2020 11:21:38,50.900001525878906,20.100000381469727,19.5
19 Jul 2020 11:21:54,50.70000076293945,20.100000381469727,19.4375
19 Jul 2020 11:22:10,50.599998474121094,20.100000381469727,19.5
19 Jul 2020 11:22:27,50.599998474121094,20.100000381469727,19.5
19 Jul 2020 11:22:43,50.70000076293945,20.100000381469727,19.5
19 Jul 2020 11:23:00,50.79999923706055,20.100000381469727,19.4375
19 Jul 2020 11:23:16,50.70000076293945,20.100000381469727,19.4375
19 Jul 2020 11:23:32,50.79999923706055,20.100000381469727,19.5
19 Jul 2020 11:23:49,51.20000076293945,20.100000381469727,19.4375
19 Jul 2020 11:24:05,51.29999923706055,20.100000381469727,19.4375
19 Jul 2020 11:24:22,51.29999923706055,20.100000381469727,19.4375
19 Jul 2020 11:24:38,52.099998474121094,20.0,19.5
19 Jul 2020 11:24:54,52.5,20.100000381469727,19.4375
19 Jul 2020 11:25:11,51.400001525878906,20.0,19.4375
19 Jul 2020 11:25:27,51.400001525878906,20.0,19.5
19 Jul 2020 11:25:44,53.29999923706055,20.0,19.4375
19 Jul 2020 11:26:00,52.79999923706055,20.0,19.4375
19 Jul 2020 11:26:16,52.29999923706055,20.0,19.4375
19 Jul 2020 11:26:33,51.400001525878906,20.0,19.4375
19 Jul 2020 11:26:49,51.20000076293945,20.100000381469727,19.4375
19 Jul 2020 11:27:06,51.20000076293945,20.100000381469727,19.5
19 Jul 2020 11:27:22,51.70000076293945,20.0,19.5
19 Jul 2020 11:27:38,51.599998474121094,20.0,19.5
19 Jul 2020 11:27:55,52.5,20.0,19.4375
19 Jul 2020 11:28:11,52.79999923706055,20.0,19.4375
19 Jul 2020 11:28:28,54.599998474121094,20.0,19.5
19 Jul 2020 11:28:44,57.79999923706055,20.0,19.5
19 Jul 2020 11:29:41,55.900001525878906,19.899999618530273,19.4375
19 Jul 2020 11:29:57,55.400001525878906,20.0,19.4375
19 Jul 2020 11:30:14,54.20000076293945,19.899999618530273,19.5
19 Jul 2020 11:30:30,54.400001525878906,20.0,19.5
19 Jul 2020 11:30:47,53.400001525878906,19.899999618530273,19.4375
19 Jul 2020 11:31:03,52.70000076293945,20.0,19.5
19 Jul 2020 11:31:19,52.70000076293945,20.0,19.5
19 Jul 2020 11:31:36,52.5,20.0,19.5
19 Jul 2020 11:31:52,52.400001525878906,20.0,19.5
19 Jul 2020 11:32:09,51.5,20.0,19.5
19 Jul 2020 11:32:25,51.79999923706055,20.0,19.5
19 Jul 2020 11:32:41,51.900001525878906,20.0,19.5
19 Jul 2020 11:32:58,52.0,20.0,19.5
19 Jul 2020 11:33:14,52.0,20.0,19.5
19 Jul 2020 11:33:31,51.70000076293945,20.0,19.5
19 Jul 2020 11:33:47,51.79999923706055,20.0,19.5
19 Jul 2020 11:34:03,52.099998474121094,20.0,19.5
19 Jul 2020 11:34:20,52.20000076293945,20.0,19.5
19 Jul 2020 11:34:36,52.70000076293945,20.0,19.5
19 Jul 2020 11:34:53,52.29999923706055,20.0,19.5
19 Jul 2020 11:35:09,52.599998474121094,20.0,19.4375
19 Jul 2020 11:35:25,53.5,20.0,19.5
19 Jul 2020 11:35:42,54.29999923706055,20.0,19.5
19 Jul 2020 11:35:58,53.900001525878906,20.0,19.5
19 Jul 2020 11:36:15,53.400001525878906,20.0,19.5
19 Jul 2020 11:36:31,53.5,20.0,19.5
19 Jul 2020 11:36:47,53.20000076293945,20.0,19.5
19 Jul 2020 11:37:04,53.400001525878906,20.0,19.5
19 Jul 2020 11:37:20,53.599998474121094,20.0,19.5
19 Jul 2020 11:37:37,53.5,20.0,19.5
19 Jul 2020 11:37:53,53.70000076293945,20.0,19.5
19 Jul 2020 11:38:09,52.599998474121094,20.0,19.5
19 Jul 2020 11:38:26,52.20000076293945,20.0,19.5
19 Jul 2020 11:38:42,52.79999923706055,20.0,19.5
19 Jul 2020 11:38:59,53.0,20.100000381469727,19.5
